url_key,name,brand_name,price,discount,thumbnail_url,rating_average,review_count
am-sieu-toc-inox-2-lop-damas-dk-6018b-1-8l-hang-chinh-hang-p174186211,Ấm Siêu Tốc Inox 2 Lớp DAMAS DK-6018B (1.8L) - Hàng Chính Hãng,Damas,419000,381000,https://salt.tikicdn.com/cache/280x280/ts/product/d4/84/22/cf3bba0d414d3c74afb04145cceeb151.png,4.8,101
may-hut-bui-lau-san-lam-sach-thong-minh-khong-day-tineco-floor-one-s3-p120790044,Máy hút bụi lau sàn làm sạch thông minh không dây Tineco Floor One S3 - Hàng chính hãng,TINECO,6590000,400000,https://salt.tikicdn.com/cache/280x280/ts/product/b4/0a/49/1008ae75fa8577856a542ce6f831d146.png,4.8,17
may-ep-cham-elmich-jee-1855ol-hang-chinh-hang-new-p173550857,Máy ép chậm Elmich JEE - 1855OL - Hàng chính hãng (New),Elmich,1849000,2041000,https://salt.tikicdn.com/cache/280x280/ts/product/a9/c8/dc/6f89aa7f7e2f5dd74444a1ef92bbb7ac.png,4.5,84
nhap-cecamp230kd1-giam-230k-may-pha-ca-phe-hitech-cf07-tich-hop-xay-bot-ca-phe-15-muc-danh-bot-sua-pha-espresso-19-bar-manh-me-3-trong-1-tien-loi-tang-kem-temper-inox-va-vong-dem-xay-hang-chinh-hang-p186708921,"Máy pha cà phê espresso CF07-PLUS tích hợp xay hạt cà phê 20 mức, đánh bọt sữa, pha espresso 20 bar mạnh mẽ, 4 trong 1 tiện lợi, 2 boilers và DIY kiểm soát nhiệt độ 3 cấp, họng pha chuyên nghiệp 58mm",Hitech,9790000,0,https://salt.tikicdn.com/cache/280x280/ts/product/2a/10/89/7e3963ff843aa683c57d7342cb45d312.jpg,5.0,9
ba-n-ui-kho-sunhouse-shd1072-hong-1200w-hang-chinh-hang-p1908441,Bàn Ủi Khô Sunhouse SHD1072 - Hồng (1200W) - Hàng chính hãng,Sunhouse,179000,68000,https://salt.tikicdn.com/cache/280x280/ts/product/db/59/cd/20f50c01b5191f2472b18e7d13ac39a8.jpg,4.7,381
may-say-toc-mini-camewell-cong-suat-lon-1000w-tao-kieu-toc-chuyen-nghiep-2-chieu-nong-lanh-cw02hd-p166124677,"Máy sấy tóc công suất lớn tạo kiểu CWell, máy sấy tóc mini 2 chiều nóng lạnh C02HD 1200W, ánh sáng xanh bảo vệ tóc",CWELL,109000,90000,https://salt.tikicdn.com/cache/280x280/ts/product/bc/ff/73/3dc095ed3e95e9361ce18bcc4aad860d.jpg,4.8,334
noi-dien-da-nang-phu-chong-dinh-cao-cap-noi-lau-dien-gia-dinh-bcook-1-8l-hang-nhap-khau-p66663092,Nồi điện đa năng phủ chống dính cao cấp - Nồi lẩu điện gia đình Bcook 1.8L - Hàng nhập khẩu,B.COOK,279000,260000,https://salt.tikicdn.com/cache/280x280/ts/product/87/7c/80/c6eb38315e9c3f0cf71125255fe1b9f7.png,4.7,343
quat-dung-than-sat-senko-dts1607-hang-chinh-hang-giao-mau-ngau-nhien-p11413192,Quạt Đứng Thân Sắt Senko DTS1607 (Hàng Chính Hãng) - Giao màu ngẫu nhiên,SENKO,398000,0,https://salt.tikicdn.com/cache/280x280/ts/product/77/7a/3c/b01ebc1d6b2e78296340de062cacd16b.png,5.0,2
may-say-toc-nagakawa-nag1604-1600w-hang-chinh-hang-p33494725,Máy Sấy Tóc Nagakawa NAG1604 (1600W) - Hàng Chính Hãng,Nagakawa,245000,175000,https://salt.tikicdn.com/cache/280x280/ts/product/7d/53/94/b862690d0b5dcbf4a925afcf2f83bce5.JPG,4.8,583
may-say-quan-ao-da-nang-gap-gon-kiem-may-suoi-doc-lap-cwell-d23-cong-suat-1800w-thiet-ke-moi-nhat-2023-hang-chinh-hang-p216135675,"Tủ sấy quần áo, máy sấy quần áo CWELL D23 1.7M gấp gọn đa năng, công suất 1800W, khử khuẩn ION phiên bản mới nhất 2024",CWELL,890000,600000,https://salt.tikicdn.com/cache/280x280/ts/product/68/b8/d5/bfdc93632aa9b3a26e29c707e01f267f.jpg,4.6,79
